variable,relative_importance,scaled_importance,percentage
WPSA5_diff,459.5440368652344,0.07728339949303067,0.0025817366771618898
MAXddssS_diff,459.25469970703125,0.07723474048020107,0.002580111169498915
PPSA1_diff,456.0024719238281,0.07668780003739574,0.002561840024457721
MINdsN_diff,450.8397216796875,0.07581955922129813,0.0025328354882412428
PPSA2_diff,430.0566101074219,0.07232437837790344,0.0024160751407940597
WPSA4_diff,425.1827697753906,0.07150472472291307,0.002388693711955008
WPSA3_diff,424.2698059082031,0.07135118785677973,0.0023835646446366287
RPCS_diff,394.9785461425781,0.06642515694674359,0.0022190051822333174
MAXtsC_diff,390.97088623046875,0.06575117239428908,0.0021964899894451268
PPSA3_diff,381.27166748046875,0.06412001512252936,0.0021419993927277664
MAXdsN_diff,376.72796630859375,0.06335588231985316,0.002116472698821534
MAXaaS_diff,375.4427795410156,0.06313974720675403,0.0021092524684438465
WPSA2_diff,370.9945373535156,0.0623916681317575,0.0020842620669086495
MINtN_diff,363.83294677734375,0.06118727416490438,0.0020440279662042983
WPSA1_diff,358.77105712890625,0.0603359954875476,0.002015590068826142
FPSA3_diff,326.36181640625,0.05488560097232214,0.001833513665390647
MINaaS_diff,316.157958984375,0.053169576551933564,0.0017761879885430313
MINaaO_diff,276.07281494140625,0.046428293992941454,0.0015509880549501621
MAXtN_diff,257.4736022949219,0.043300388360612216,0.0014464969385311196
MDEN-22_diff,225.43186950683594,0.03791179915727373,0.0012664852092894201
MDEN-23_diff,223.76785278320312,0.03763195466164531,0.0012571366971509121
MAXaaO_diff,223.65870666503906,0.03761359911271745,0.0012565235099178534
MAXssS_diff,219.39425659179688,0.036896429108996764,0.0012325656597907638
GRAVHp_diff,216.85556030273438,0.03646948617478428,0.0012183031630638842
Mor19m_diff,213.68165588378906,0.03593571769236574,0.0012004720417983495
Mor26v_diff,209.5602264404297,0.03524260005270221,0.0011773176872584901
Mor06_diff,194.35400390625,0.03268530743956018,0.0010918885242442605
Mor11p_diff,189.73223876953125,0.031908046300757185,0.0010659232638785946
Mor07_diff,186.0884552001953,0.031295256320549664,0.0010454523428570404
GRAVH_diff,185.98153686523438,0.03127727542703121,0.0010448516713986254
Mor31p_diff,184.5266876220703,0.031032607481759723,0.0010366782704848859
Mor27m_diff,183.66087341308594,0.030886999966414454,0.0010318140918216376
Mor13m_diff,181.92991638183594,0.030595897845573324,0.0010220895063724309
Mor02m_diff,180.85658264160156,0.030415390922228763,0.001016059474728671
Mor17p_diff,180.13401794433594,0.030293874262934766,0.0010120000775199112
Mor21m_diff,177.098388671875,0.029783360077228694,0.000994945791527126
Mor21se_diff,175.60678100585938,0.02953251031770204,0.000986565880331765
Mor07m_diff,173.80728149414062,0.02922988112768938,0.000976456220501054
Mor06m_diff,172.6964569091797,0.029043069215708477,0.0009702155638004476
Mor08_diff,172.26756286621094,0.02897094035099936,0.0009678060200080788
Mor13p_diff,170.60403442382812,0.028691177971625056,0.0009584602510530545
Mor19_diff,168.88548278808594,0.02840216211686506,0.0009488053596092268
MAXdCH2_diff,167.43128967285156,0.02815760451531004,0.0009406356448482932
Mor22p_diff,167.3114013671875,0.028137442408791628,0.0009399621075785963
Mor08se_diff,167.0700225830078,0.028096848751795984,0.0009386060319683971
Mor02v_diff,166.60293579101562,0.028018296856335233,0.000935981919792924
Mor02se_diff,166.53236389160156,0.02800642849148253,0.0009355854440550663
Mor16v_diff,166.46023559570312,0.02799429838106984,0.0009351802244198547
Mor27_diff,166.383544921875,0.027981400996907747,0.0009347493731639687
Mor15p_diff,165.79380798339844,0.02788222252486624,0.0009314362075872199
Mor30_diff,165.27415466308594,0.027794830301423313,0.0009285167745648451
Mor04_diff,163.64370727539062,0.027520631298265368,0.0009193568562908317
Mor06p_diff,161.84703063964844,0.027218476842846815,0.000909263055489635
Mor22m_diff,161.76072692871094,0.027203962794931816,0.0009087781978089164
Mor26_diff,161.52081298828125,0.02716361548669852,0.000907430351749168
Mor30m_diff,161.29513549804688,0.027125662380499294,0.0009061624866328618
Mor14v_diff,161.26864624023438,0.0271212075737135,0.0009060136689288789
Mor05m_diff,157.25830078125,0.026446771381861356,0.0008834833886315286
Mor27se_diff,156.69615173339844,0.0263522324781774,0.0008803252129216007
Mor04m_diff,156.66439819335938,0.02634689235552692,0.0008801468202706856
Mor13se_diff,155.61099243164062,0.02616973680180347,0.0008742287448028485
Mor32_diff,155.2774200439453,0.026113638569577553,0.0008723547218611604
Mor29p_diff,155.1455841064453,0.026091467180966242,0.0008716140623206002
Mor09v_diff,155.04574584960938,0.026074676973132465,0.0008710531670226968
Mor15_diff,154.84156799316406,0.026040339548247284,0.0008699060877041511
