variable,relative_importance,scaled_importance,percentage
mol_1_WNSA4,229.00511169433594,0.06980848889827602,0.0013667191944650183
mol_2_FPSA4,228.601806640625,0.06968554790295808,0.0013643122405151552
mol_1_FPSA2,228.3675079345703,0.06961412574779531,0.0013629139287637973
mol_1_FNSA3,227.9237518310547,0.06947885390693283,0.0013602655600009842
mol_1_MDEO-22,225.84329223632812,0.06884465958940322,0.0013478492255341059
mol_1_MAXsBr,223.0780792236328,0.06800172931387398,0.0013313462327699988
mol_2_WPSA1,222.02703857421875,0.06768133664244667,0.001325073545583721
mol_1_WPSA3,221.6327667236328,0.06756114927238802,0.0013227205024483684
mol_2_RPSA,220.77423095703125,0.06729943858790524,0.0013175966984307738
mol_2_WPSA4,218.902099609375,0.06672874975291795,0.0013064236821235368
mol_2_MINaaO,218.67799377441406,0.06666043472895992,0.0013050862021696328
mol_1_FPSA3,218.54103088378906,0.06661868381624478,0.0013042687976577351
mol_1_DPSA3,217.9662322998047,0.06644346580354656,0.001300838357822264
mol_1_WPSA2,217.41336059570312,0.06627493184405371,0.0012975387792037712
mol_1_FPSA4,215.818603515625,0.06578879604954502,0.001288021152738031
mol_1_WPSA5,215.16986083984375,0.06559103738143038,0.001284149409174323
mol_2_MAXaaS,214.6791229248047,0.06544144389838319,0.0012812206495367178
mol_1_MINaaO,212.50559997558594,0.0647788807287313,0.0012682489061885934
mol_2_GRAVHp,212.38812255859375,0.0647430696461785,0.0012675477924032658
mol_2_WNSA4,212.19351196289062,0.06468374576685933,0.0012663863421866054
mol_1_MINsBr,211.05902099609375,0.06433791462154174,0.0012596156174250637
mol_1_RPSA,210.4153289794922,0.06414169556484743,0.0012557740165633872
mol_1_WPSA4,210.3142852783203,0.06411089403365317,0.0012551709803916196
mol_2_MINtN,209.2516326904297,0.06378696165137734,0.001248828992310338
mol_2_TPSA,208.77188110351562,0.06364071717202388,0.0012459657998795696
mol_1_PPSA2,207.9394989013672,0.06338697897688979,0.0012409980822404726
mol_2_FPSA5,207.85546875,0.0633613637500268,0.0012404965841737367
mol_1_WNSA5,206.53817749023438,0.06295980890436079,0.001232634893942884
mol_2_GRAVH,206.2523956298828,0.0628726929457777,0.0012309293269750438
mol_2_PPSA4,205.0961151123047,0.06252021960980088,0.0012240285605866093
mol_2_PPSA2,204.37060546875,0.06229905977837633,0.0012196986661651295
mol_2_TASA,203.73480224609375,0.062105245492389875,0.0012159041462005845
mol_2_Mor15m,201.935302734375,0.06155669729293333,0.0012051646019829903
